bug_id,short_short_desc,bug_status,keywords,product,component,version,op_sys,target_milestone,qa_contact,short_desc,assigned_to,reporter
451918,Remove |APP_XPCOM_LIBS| from /browser/,VERIFIED,,Firefox,Build Config,Trunk,All,Firefox 6,build.config,Remove |APP_XPCOM_LIBS| from /browser/,arpad.borsos,sgautherie.bz
252063,Linux Firefox Installer fails to launch,VERIFIED,smoketest,Firefox,Build Config,1.0 Branch,Linux,---,asa,[Linux Firefox Installer fails to launch],benjamin,bryner
510497,change default branding in mozilla-1.9.2 to Namoroka,VERIFIED,verified1.9.2,Firefox,Build Config,3.6 Branch,All,Firefox 3.6a1,build.config,change default branding in mozilla-1.9.2 to Namoroka,bhearsum,bhearsum
664723,update removed-files.in for bug 643816,VERIFIED,,Firefox,Build Config,Trunk,All,Firefox 7,build.config,update removed-files.in for bug 643816,bhearsum,bhearsum
172300,Phoenix doesn't build with jprof enabled,VERIFIED,,Firefox,Build Config,unspecified,Linux,Phoenix0.3,asa,Phoenix doesn't build with jprof enabled,bryner,bbaetz
172580,Changes to get OS/2 building/working,VERIFIED,,Firefox,Build Config,unspecified,OS/2,Phoenix0.3,asa,Changes to get OS/2 building/working,bryner,mozilla
172706,Mozilla Firebird should not try to use $MOZILLA_FIVE_HOME,VERIFIED,,Firefox,Build Config,unspecified,Linux,---,asa,Mozilla Firebird should not try to use $MOZILLA_FIVE_HOME,bryner,neil
173789,preprocessor doesn't work,VERIFIED,,Firefox,Build Config,unspecified,All,Phoenix0.3,asa,preprocessor doesn't work,bryner,bryner
177610,Phoenix does not build under BeOS,VERIFIED,,Firefox,Build Config,unspecified,BeOS,---,asa,Phoenix does not build under BeOS,bryner,beos
177722,Need OS/2 RC file,VERIFIED,,Firefox,Build Config,unspecified,OS/2,---,asa,Need OS/2 RC file,bryner,mozilla
177977,Long DLL name keeps various things from working on OS/2,VERIFIED,,Firefox,Build Config,unspecified,OS/2,---,asa,Long DLL name keeps various things from working on OS/2,bryner,mozilla
187485,Phoenix build broken on OS/2,VERIFIED,,Firefox,Build Config,unspecified,OS/2,---,asa,Phoenix build broken on OS/2,bryner,jhpedemonte
187755,StaticBuild build failure due missing symbol in nsNodeInfo.o,VERIFIED,,Firefox,Build Config,unspecified,Solaris,---,asa,StaticBuild build failure due missing symbol in nsNodeInfo.o,bryner,roland.mainz
188020,fork the bookmark service,VERIFIED,,Firefox,Build Config,unspecified,All,---,,fork the bookmark service,bryner,p_ch
188090,"Build failure in toolkit/components/build due missing ""gkgfx""",VERIFIED,,Firefox,Build Config,unspecified,Solaris,---,asa,"Build failure in toolkit/components/build due missing ""gkgfx""",bryner,roland.mainz
189558,Phoenix build failure on linux,VERIFIED,,Firefox,Build Config,unspecified,Linux,---,asa,Phoenix build failure on linux,bryner,p_ch
196080,gtk_init undefined when building Phoenix with gtk2,VERIFIED,,Firefox,Build Config,unspecified,Linux,---,asa,gtk_init undefined when building Phoenix with gtk2,bryner,am2stewa
196791,gtk2 build fails when linking phoenix-bin (NS_CreateNativeAppSupport undefined),VERIFIED,,Firefox,Build Config,unspecified,Linux,---,asa,gtk2 build fails when linking phoenix-bin (NS_CreateNativeAppSupport undefined),bryner,am2stewa
205647,long .exe filename breaks Default Browser integration when using some network mapped drives,VERIFIED,conversion,Firefox,Build Config,unspecified,Windows NT,Firefox1.0,mconnor,long .exe filename breaks Default Browser integration when using some network mapped drives,bryner,djst
205974,"[Mac] Missing PrintPDE.plugin: can't print background colors, selection or frames",VERIFIED,"fixed-aviary1.0, polish, pp",Firefox,Build Config,1.0 Branch,Mac OS X,---,asa,[Mac] Missing PrintPDE.plugin: can't print background colors selection or frames,bryner,harunaga
209104,Unix/Linux StaticBuilds are broken,VERIFIED,,Firefox,Build Config,unspecified,Solaris,---,asa,Unix/Linux StaticBuilds are broken,bryner,roland.mainz
212509,nsToolkitCompsCID.h: No such file or directory (and numerous firebird build failures),VERIFIED,,Firefox,Build Config,unspecified,Linux,---,asa,nsToolkitCompsCID.h: No such file or directory (and numerous firebird build failures),bryner,levon
214719,mac icon needs updating,VERIFIED,,Firefox,Build Config,unspecified,Mac OS X,---,asa,mac icon needs updating,bryner,louie
216025,preprocessor.pl doesn't track current directory correctly,VERIFIED,,Firefox,Build Config,unspecified,All,---,asa,preprocessor.pl doesn't track current directory correctly,bryner,bryner
217529,The Mozilla Firebird User-Agent String is Non-Compliant,VERIFIED,,Firefox,Build Config,unspecified,All,---,asa,The Mozilla Firebird User-Agent String is Non-Compliant,bryner,mozilla
218248,nsSingleSignonPrompt.h has CR/LF line terminations and it should not,VERIFIED,,Firefox,Build Config,unspecified,All,---,asa,nsSingleSignonPrompt.h has CR/LF line terminations and it should not,bryner,lidl
219505,Change MOZ_PHOENIX to MOZ_XUL_APP in themes,VERIFIED,,Firefox,Build Config,unspecified,Windows XP,---,,Change MOZ_PHOENIX to MOZ_XUL_APP in themes,bryner,stdowa+bugzilla
220433,Can't build with Binutils Candidate,VERIFIED,,Firefox,Build Config,unspecified,Windows XP,---,asa,Can't build with Binutils Candidate,bryner,nilson
221217,gtk2+xft builds since 1st Oct don't work,VERIFIED,regression,Firefox,Build Config,unspecified,Linux,---,mconnor,gtk2+xft builds since 1st Oct don't work,bryner,b3nton
227353,GCC/Win32 build process bails on browser/app/module.rc:147 FILEVERSION,VERIFIED,,Firefox,Build Config,unspecified,Windows XP,---,asa,GCC/Win32 build process bails on browser/app/module.rc:147 FILEVERSION,bryner,fredbezies
232427,Compile error in nsPasswordManager.cpp building Firebird 0.7 on Solaris 8.,VERIFIED,,Firefox,Build Config,unspecified,Solaris,---,asa,Compile error in nsPasswordManager.cpp building Firebird 0.7 on Solaris 8.,bryner,jimlane
328842,Access to FTP site crashes Firefox [@ xpcom_core.dll] [@ nsEscapeHTML],VERIFIED,"crash, fixed1.8.1, regression",Firefox,Build Config,2.0 Branch,Windows XP,---,xpcom,Access to FTP site crashes Firefox [@ xpcom_core.dll] [@ nsEscapeHTML],bryner,jmjeffery
171561,"Mozilla Firefox creates a profile directory called ""Mozilla""",VERIFIED,,Firefox,Build Config,unspecified,All,Firefox0.9,,"Mozilla Firefox creates a profile directory called ""Mozilla""",bugs,nathans
258625,Installer needs to gracefully handle missing talkback package.,VERIFIED,dogfood,Firefox,Build Config,1.0 Branch,All,---,asa,Installer needs to gracefully handle missing talkback package.,chase,twalker
259431,Firefox installer should be signed to suppress Internet Explorer Security Warning (XP SP2),VERIFIED,fixed-aviary1.0.1,Firefox,Build Config,unspecified,Windows XP,---,build.config,Firefox installer should be signed to suppress Internet Explorer Security Warning (XP SP2),chase,DmctNY8
268242,"""Software License Agreement"" (EULA) has Unix line endings in localized builds",VERIFIED,,Firefox,Build Config,unspecified,Windows XP,---,build.config,"""Software License Agreement"" (EULA) has Unix line endings in localized builds",chase,bugzilla
285656,bump browser version to 1.0.2,VERIFIED,fixed-aviary1.0.2,Firefox,Build Config,1.0 Branch,All,---,bryner,bump browser version to 1.0.2,chase,chase
308280,"Bump Firefox version on aviary1.0.1 branch to 1.0.7, GRE to 1.7.12",VERIFIED,fixed-aviary1.0.7,Firefox,Build Config,1.0 Branch,All,---,build.config,"Bump Firefox version on aviary1.0.1 branch to 1.0.7, GRE to 1.7.12",chase,mtschrep
202868,Make Firebird build with MingW GCC on win32,VERIFIED,,Firefox,Build Config,unspecified,Windows XP,---,asa,Make Firebird build with MingW GCC on win32,dmose,jonwil
649168,Need to ship feedback with the aurora and beta channels,VERIFIED,,Firefox,Build Config,Trunk,All,Firefox 5,build.config,Need to ship feedback with the aurora and beta channels,dtownsend+bugmail,dtownsend+bugmail
326012,Need to bump FF/Thunderbird version number to 1.0.8,VERIFIED,verified-aviary1.0.8,Firefox,Build Config,1.0 Branch,All,---,build.config,Need to bump FF/Thunderbird version number to 1.0.8,dveditz,dveditz
416363,Add id to the Firefox build,VERIFIED,,Firefox,Build Config,Trunk,All,Firefox 3 beta4,build.config,Add id to the Firefox build,gavin.sharp,l10n
455395,"make ""Gran Paradiso"" branding the default on CVS trunk",VERIFIED,verified1.9.0.11,Firefox,Build Config,3.0 Branch,All,---,build.config,"make ""Gran Paradiso"" branding the default on CVS trunk",gavin.sharp,gavin.sharp
265564,l10n builds - TalkBack doesn't start - master.ini is missing,VERIFIED,,Firefox,Build Config,1.0 Branch,Windows 2000,---,benjamin,l10n builds - TalkBack doesn't start - master.ini is missing,granrosebugs,aha
200142,perl tool to investigate package dependencies,VERIFIED,,Firefox,Build Config,unspecified,All,---,build.config,perl tool to investigate package dependencies,holyspirit,bugzilla
382217,move browser/ Makefiles from allmakefiles.sh to browser/makefiles.sh,VERIFIED,,Firefox,Build Config,Trunk,All,Firefox 3 alpha6,build.config,move browser/ Makefiles from allmakefiles.sh to browser/makefiles.sh,hskupin,hskupin
224819,cleanup: remove CVS dirs from packaged app bundle,VERIFIED,,Firefox,Build Config,unspecified,Mac OS X,---,asa,cleanup: remove CVS dirs from packaged app bundle,jj.enser,jj.enser
486826,firefox isn't using its overridden netError.dtd,VERIFIED,"regression, verified1.9.1",Firefox,Build Config,Trunk,All,---,build.config,firefox isn't using its overridden netError.dtd,johnath,mkmelin+mozilla
298088,Build fails on progressui_osx.mm (gcc 4.0.0),VERIFIED,,Firefox,Build Config,Trunk,Mac OS X,---,build.config,Build fails on progressui_osx.mm (gcc 4.0.0),joshmoz,krmathis
445391,Re-enable OJI for Firefox 3.1,VERIFIED,"regression, verified1.9.1",Firefox,Build Config,Trunk,All,Firefox 3.1b1,build.config,Re-enable OJI for Firefox 3.1,jst,jst
308672,use langpack-$(AB_CD)@firefox.mozilla.org for MOZ_LANGPACK_EID,VERIFIED,"fixed1.8, late-l10n",Firefox,Build Config,1.5.0.x Branch,All,---,build.config,use langpack-$(AB_CD)@firefox.mozilla.org for MOZ_LANGPACK_EID,l10n,l10n
400656,Ukrainian should be added to shipped-locales,VERIFIED,verified1.8.1.10,Firefox,Build Config,2.0 Branch,Linux,---,build.config,Ukrainian should be added to shipped-locales,l10n,tim.babych
401866,Adding locales from the branch to the trunk,VERIFIED,,Firefox,Build Config,Trunk,All,---,build.config,Adding locales from the branch to the trunk,l10n,l10n
436096,Add 3.0 beta locales to the RC2 build automation,VERIFIED,,Firefox,Build Config,3.0 Branch,All,---,build.config,Add 3.0 beta locales to the RC2 build automation,l10n,l10n
440431,Gran Paradiso branding broken for l10n,VERIFIED,verified1.9.0.1,Firefox,Build Config,3.0 Branch,All,---,build.config,Gran Paradiso branding broken for l10n,l10n,l10n
668782,Add csb and sw to the Firefox build,VERIFIED,,Firefox,Build Config,unspecified,All,---,build.config,Add csb and sw to the Firefox build,l10n,l10n
709113,"Add ach, ff, km, lij, wo to the Firefox build",VERIFIED,verified-aurora,Firefox,Build Config,unspecified,All,Firefox 11,build.config,"Add ach, ff, km, lij, wo to the Firefox build",l10n,l10n
467124,"Firefox 3.1 Beta 2 identifies itself as ""Mozilla Firefox"" and overwrites an existing Firefox installation",VERIFIED,verified1.9.1,Firefox,Build Config,Trunk,All,Firefox 3.1b2,build.config,"Firefox 3.1 Beta 2 identifies itself as ""Mozilla Firefox"" and overwrites an existing Firefox installation",mbeltzner,hskupin
216848,"When trying to start browser, error SYS 3175 in XPCOM.DLL on some PC's",VERIFIED,fixed1.4.1,Firefox,Build Config,unspecified,Other,---,asa,"When trying to start browser, error SYS 3175 in XPCOM.DLL on some PC's",mozilla,crispin
224514,automate localeVersion updates based on milestone.txt,VERIFIED,,Firefox,Build Config,unspecified,Windows XP,---,asa,automate localeVersion updates based on milestone.txt,mscott,mscott
313607,Change Gecko rv to 1.8,VERIFIED,fixed1.8,Firefox,Build Config,1.5.0.x Branch,All,Firefox1.5,build.config,Change Gecko rv to 1.8,mscott,nrthomas
292054,revert package names to original versions when svg is enabled,VERIFIED,,Firefox,Build Config,unspecified,All,---,build-config,revert package names to original versions when svg is enabled,nobody,chase
344673,xforms.xpi not being built anymore,VERIFIED,,Firefox,Build Config,unspecified,Windows XP,---,build.config,xforms.xpi not being built anymore,nobody,aja+bugzilla
350633,Talkback is not present in 1.5.0.7 candidate builds,VERIFIED,"regression, verified1.8.0.7",Firefox,Build Config,1.5.0.x Branch,All,---,build.config,Talkback is not present in 1.5.0.7 candidate builds,nobody,twalker
393261,make langpack-% should ensure dist/install,VERIFIED,verified1.8.1.8,Firefox,Build Config,2.0 Branch,All,---,build.config,make langpack-% should ensure dist/install,nobody,l10n
397296,Firefox builds need to use the current NSS CVS tag,VERIFIED,fixed1.8.1.23,Firefox,Build Config,Trunk,All,Firefox 3 beta1,build.config,Firefox builds need to use the current NSS CVS tag,nobody,mozillamarcia.knous
459813,latest-mozilla-central-l10n do not upload,VERIFIED,,Firefox,Build Config,Trunk,All,---,build.config,latest-mozilla-central-l10n do not upload,nobody,l10n
501457,FF3.5finalMac: type/creator name is not APPL/MOZB but incorrect,VERIFIED,"regression, verified1.9.1.1",Firefox,Build Config,3.5 Branch,Mac OS X,Firefox 3.6a1,build.config,FF3.5finalMac: type/creator name is not APPL/MOZB but incorrect,nrthomas,memex.2007
512064,"Reporter extension should be in toolkit.jar, not browser.jar",VERIFIED,,Firefox,Build Config,Trunk,All,Firefox 3.7a1,build.config,"Reporter extension should be in toolkit.jar, not browser.jar",philringnalda,sgautherie.bz
640589,rename unbranded builds on /releases/mozilla-2.0 from Minefield to Tumucumaque,VERIFIED,,Firefox,Build Config,4.0 Branch,All,Firefox 4.0,build.config,rename unbranded builds on /releases/mozilla-2.0 from Minefield to Tumucumaque,philringnalda,mbeltzner
194340,wizard.properties needs to added to the toolkit,VERIFIED,,Firefox,Build Config,unspecified,Linux,---,,wizard.properties needs to added to the toolkit,p_ch,p_ch
222494,cvs remove browser/components/search,VERIFIED,,Firefox,Build Config,unspecified,All,---,asa,cvs remove browser/components/search,p_ch,p_ch
481680,"[Mac OSX] Beta 3 build 1 are showing ""Mozilla Firefox3.1b3"" in window title",VERIFIED,"regression, verified1.9.1",Firefox,Build Config,3.5 Branch,Mac OS X,Firefox 3.1b3,build.config,"[Mac OSX] Beta 3 build 1 are showing ""Mozilla Firefox3.1b3"" in window title",robert.bugzilla,tchung
196287,"Current Phoenix trunk should identify itself as ""0.5+"", not as ""0.5""",VERIFIED,,Firefox,Build Config,unspecified,All,---,asa,"Current Phoenix trunk should identify itself as ""0.5+"", not as ""0.5""",roland.mainz,roland.mainz
364621,Partner extension creates an extraneous item in the popup exceptions list,VERIFIED,,Firefox,Build Config,Trunk,All,---,build.config,Partner extension creates an extraneous item in the popup exceptions list,thunder,thunder
500495,Upgrade Firefox 3.0.x to NSS version used by Firefox 3.5.1 (NSS 3.12.3.1),VERIFIED,"verified1.9.0.13, verified1.9.0.14",Firefox,Build Config,3.0 Branch,All,---,build.config,Upgrade Firefox 3.0.x to NSS version used by Firefox 3.5.1 (NSS 3.12.3.1),wtc,dveditz
381099,Turn on crash reporting by default (Win+Mac),VERIFIED,,Firefox,Build Config,Trunk,Mac OS X,Firefox 3 alpha5,build.config,Turn on crash reporting by default (Win+Mac),benjamin,benjamin
717491,"""Warning: package error or possible missing or unnecessary file: bin/components/proxyObject.xpt (package-manifest, 151).""",VERIFIED,regression,Firefox,Build Config,Trunk,All,Firefox 12,build.config,"""Warning: package error or possible missing or unnecessary file: bin/components/proxyObject.xpt (package-manifest, 151).""",ewong,sgautherie.bz
331118,Copy .src files to dist/bin/searchplugins until all search engines can be converted,VERIFIED,verified1.8.1,Firefox,Build Config,Trunk,All,Firefox 2 alpha2,build.config,Copy .src files to dist/bin/searchplugins until all search engines can be converted,gavin.sharp,gavin.sharp
716397,"[Linux] ""Warning: package error or possible missing or unnecessary file: bin/libmozglue.so (package-manifest, 34).""",VERIFIED,,Firefox,Build Config,Trunk,Linux,Firefox 12,build.config,"[Linux] ""Warning: package error or possible missing or unnecessary file: bin/libmozglue.so (package-manifest, 34).""",jon,sgautherie.bz
407670,Determine list of localizations for Fx3B2,VERIFIED,,Firefox,Build Config,Trunk,All,Firefox 3 beta2,build.config,Determine list of localizations for Fx3B2,l10n,l10n
475032,Update shipped-locales and l10n-changesets for Firefox 3.1 Beta 3,VERIFIED,verified1.9.1,Firefox,Build Config,3.5 Branch,All,Firefox 3.1b3,build.config,Update shipped-locales and l10n-changesets for Firefox 3.1 Beta 3,l10n,l10n
339229,Stop shipping DOM Inspector in Firefox builds,VERIFIED,relnote,Firefox,Build Config,Trunk,All,Firefox 3 beta4,build.config,Stop shipping DOM Inspector in Firefox builds,mconnor,mconnor
415604,Determine list of locales for Firefox 3 Beta 3,VERIFIED,,Firefox,Build Config,Trunk,All,Firefox 3 beta3,build.config,Determine list of locales for Firefox 3 Beta 3,mic,l10n
221599,Toolkit: remove the references to files packaged in comm.jar,VERIFIED,,Firefox,Build Config,unspecified,All,Firebird0.8,asa,Toolkit: remove the references to files packaged in comm.jar,p_ch,p_ch
439410,Add Shiretoko branding to mozilla-central,VERIFIED,verified1.9.1,Firefox,Build Config,Trunk,All,Firefox 3.5,build.config,Add Shiretoko branding to mozilla-central,reed,nrthomas
507950,Add Namoroka branding to mozilla-central,VERIFIED,,Firefox,Build Config,Trunk,All,Firefox 3.6a1,build.config,Add Namoroka branding to mozilla-central,reed,nrthomas
652297,Stop trying to package MSVC DLLs in debug Windows Firefox,VERIFIED,,Firefox,Build Config,Trunk,Windows Server 2003,Firefox 12,build.config,Stop trying to package MSVC DLLs in debug Windows Firefox,sgautherie.bz,sgautherie.bz
718324,"[Linux, QT] ""Warning: package error or possible missing or unnecessary file: bin/chrome/icons/default/default16.png (package-manifest, 315)."" (+ 2 more)",VERIFIED,checkin-needed,Firefox,Build Config,Trunk,Linux,Firefox 13,build.config,"[Linux, QT] ""Warning: package error or possible missing or unnecessary file: bin/chrome/icons/default/default16.png (package-manifest, 315)."" (+ 2 more)",sgautherie.bz,sgautherie.bz
436926,"Change branding in CVS (1.9 branch) to ""Gran Paradiso"", and bump version to 3.0.1pre",VERIFIED,verified1.9.0.1,Firefox,Build Config,3.0 Branch,All,---,build.config,"Change branding in CVS (1.9 branch) to ""Gran Paradiso"", and bump version to 3.0.1pre",nrthomas,samuel.sidler+old
721535,"[Firefox] ""Warning: package error or possible missing or unnecessary file: bin/components/chardet.xpt""",VERIFIED,regression,Firefox,Build Config,Trunk,All,Firefox 12,build.config,"[Firefox] ""Warning: package error or possible missing or unnecessary file: bin/components/chardet.xpt""",sgautherie.bz,sgautherie.bz
